FirstName;LastName;BirthDate;Gender;Email;PhoneNumber;Street;HouseNumber;ZipCode;City;Country;Notes;CreatedAt;IsActive
"Rachel";"Edwards";"2000-04-14";"Male";"rachel.edwards@example.com";"+1 766 172 9666";"Madison Street";"61";"11031";"Tucson";"Kazakhstan";"Generated test data";"2024-10-18";"False";
"Sarah";"James";"1960-04-19";"Diverse";"sarah.james@example.com";"+1 330 368 1158";"Main Street";"171";"50018";"North Las Vegas";"Israel";"Generated test data";"2025-03-10";"False";
"Benjamin";"Campbell";"1954-01-26";"Diverse";"benjamin.campbell@example.com";"+1 928 735 5885";"Cedar Street";"41B";"57395";"Portland";"Thailand";"Generated test data";"2025-06-21";"True";
"Eric";"Morris";"2003-09-15";"Male";"eric.morris@example.com";"+1 493 774 1101";"Broad Street";"84C";"47741";"Santa Ana";"Vatican City";"Generated test data";"2025-02-06";"False";
"Katherine";"Cooper";"1985-12-31";"Diverse";"katherine.cooper@example.com";"+1 542 804 4529";"Taylor Avenue";"111";"83067";"Newark";"Bangladesh";"Generated test data";"2024-10-07";"True";
"Diane";"Stewart";"1982-08-15";"Unknown";"diane.stewart@example.com";"+1 611 733 5931";"King Street";"163A";"65894";"Oakland";"Japan";"Generated test data";"2025-01-01";"True";
"Christina";"Wright";"1993-12-12";"Diverse";"christina.wright@example.com";"+1 316 279 6938";"Mill Road";"136";"22827";"Hialeah";"Malta";"Generated test data";"2025-05-12";"False";
"Cynthia";"Lewis";"2001-03-20";"Male";"cynthia.lewis@example.com";"+1 172 543 1506";"Willow Lane";"82A";"89173";"Milwaukee";"Israel";"Generated test data";"2025-06-15";"False";
"Ruth";"Morgan";"1986-11-16";"Male";"ruth.morgan@example.com";"+1 849 983 2383";"Ninth Avenue";"142";"87037";"Seattle";"Sweden";"Generated test data";"2025-05-17";"False";
"Charles";"Peterson";"2000-03-04";"Female";"charles.peterson@example.com";"+1 190 605 3566";"Circle Drive";"110";"52476";"San Antonio";"Colombia";"Generated test data";"2025-01-22";"True";
"Jack";"Turner";"1955-12-04";"Male";"jack.turner@example.com";"+1 282 930 7465";"River Road";"55A";"67861";"Chicago";"Afghanistan";"Generated test data";"2024-08-31";"False";
"Gregory";"Wood";"1963-08-02";"Male";"gregory.wood@example.com";"+1 477 320 2045";"Castle Street";"180";"59295";"Minneapolis";"Switzerland";"Generated test data";"2024-10-08";"True";
"Amy";"Rogers";"1986-01-11";"Unknown";"amy.rogers@example.com";"+1 268 191 7095";"Prince Avenue";"46C";"10088";"Oakland";"Colombia";"Generated test data";"2024-09-22";"True";
"Steven";"Foster";"1974-11-21";"Female";"steven.foster@example.com";"+1 439 154 6185";"High Street";"39";"27569";"Lubbock";"Algeria";"Generated test data";"2025-07-17";"False";
"Stephen";"Wilson";"2001-05-14";"Male";"stephen.wilson@example.com";"+1 778 539 7955";"Knight Avenue";"165";"18345";"Riverside";"Cambodia";"Generated test data";"2024-08-26";"True";
"Jacob";"Gomez";"1997-01-01";"Female";"jacob.gomez@example.com";"+1 867 943 6697";"Vine Street";"36";"92080";"Philadelphia";"Uzbekistan";"Generated test data";"2024-10-26";"False";
"Kevin";"Cox";"1983-11-24";"Female";"kevin.cox@example.com";"+1 173 418 6845";"Cleveland Avenue";"124C";"25232";"Denver";"United Arab Emirates";"Generated test data";"2025-07-26";"False";
"Steven";"Mitchell";"1963-02-07";"Male";"steven.mitchell@example.com";"+1 627 283 7554";"Vine Street";"178";"62811";"Hialeah";"Bhutan";"Generated test data";"2024-11-07";"True";
"Sandra";"Thompson";"2002-08-08";"Female";"sandra.thompson@example.com";"+1 442 699 4386";"Harrison Avenue";"29";"93988";"Lexington";"Denmark";"Generated test data";"2025-07-22";"True";
"Brenda";"Allen";"1999-01-31";"Female";"brenda.allen@example.com";"+1 696 630 7595";"Valley Road";"124";"41483";"San Francisco";"South Korea";"Generated test data";"2025-01-15";"False";
"Edward";"King";"1989-01-06";"Female";"edward.king@example.com";"+1 169 922 4348";"Gate Street";"148B";"52827";"Newark";"Switzerland";"Generated test data";"2025-05-11";"True";
"David";"Hill";"1981-07-17";"Male";"david.hill@example.com";"+1 550 499 3819";"Meadow Lane";"166";"62791";"Nashville";"Chile";"Generated test data";"2025-06-29";"False";
"Mark";"James";"1982-05-01";"Male";"mark.james@example.com";"+1 559 104 9711";"Forest Avenue";"196";"94150";"Sacramento";"Chile";"Generated test data";"2025-03-01";"False";
"Elizabeth";"Bennett";"1981-05-08";"Unknown";"elizabeth.bennett@example.com";"+1 931 364 3340";"Main Street";"80B";"76133";"Lubbock";"Bahamas";"Generated test data";"2025-05-15";"True";
"George";"Jimenez";"1970-11-18";"Unknown";"george.jimenez@example.com";"+1 178 488 9847";"Hamilton Avenue";"13";"79666";"Seattle";"Dominican Republic";"Generated test data";"2025-04-20";"True";
"Jerry";"Gonzalez";"1957-02-02";"Unknown";"jerry.gonzalez@example.com";"+1 401 657 8960";"Adams Boulevard";"1";"36528";"Lincoln";"Malta";"Generated test data";"2025-08-10";"True";
"Christina";"Ross";"1976-08-05";"Diverse";"christina.ross@example.com";"+1 117 392 9542";"Wilson Street";"70A";"69633";"Omaha";"Jamaica";"Generated test data";"2025-01-02";"False";
"Barbara";"Rodriguez";"1970-11-15";"Unknown";"barbara.rodriguez@example.com";"+1 676 624 9326";"Valley Road";"157A";"89569";"Saint Paul";"Costa Rica";"Generated test data";"2025-02-22";"True";
"Janet";"Evans";"1992-03-27";"Unknown";"janet.evans@example.com";"+1 915 695 1323";"Chestnut Avenue";"68";"86673";"Anchorage";"Brazil";"Generated test data";"2024-12-16";"True";
"Julie";"Morgan";"1992-11-05";"Female";"julie.morgan@example.com";"+1 964 284 7960";"Tower Road";"75";"78188";"Reno";"Vietnam";"Generated test data";"2024-08-14";"False";
"Madison";"Hernandez";"1959-11-08";"Unknown";"madison.hernandez@example.com";"+1 731 196 8744";"River Road";"113";"68712";"Cincinnati";"Ecuador";"Generated test data";"2025-03-07";"True";
"Megan";"Taylor";"1963-02-19";"Unknown";"megan.taylor@example.com";"+1 262 840 8529";"Roosevelt Street";"173";"27314";"Albuquerque";"Malaysia";"Generated test data";"2025-05-01";"False";
"Paul";"Roberts";"1970-06-08";"Diverse";"paul.roberts@example.com";"+1 898 688 1696";"Lady Street";"133A";"18073";"Corpus Christi";"Portugal";"Generated test data";"2024-12-18";"False";
"Thomas";"Torres";"1965-11-16";"Diverse";"thomas.torres@example.com";"+1 863 389 6339";"Polk Street";"56";"75455";"Baton Rouge";"Bahrain";"Generated test data";"2024-09-06";"True";
"Christina";"Moore";"1974-08-03";"Diverse";"christina.moore@example.com";"+1 130 395 5503";"Lakeview Drive";"150";"27102";"Irving";"Iran";"Generated test data";"2024-10-13";"True";
"Frank";"Cruz";"1959-08-01";"Diverse";"frank.cruz@example.com";"+1 580 731 9884";"Cornell Road";"81";"38743";"Winston–Salem";"Colombia";"Generated test data";"2024-10-01";"True";
"Katherine";"Young";"1995-06-25";"Male";"katherine.young@example.com";"+1 159 655 8396";"Princeton Street";"10A";"22200";"Honolulu";"Algeria";"Generated test data";"2024-09-04";"True";
"Megan";"Baker";"1984-06-24";"Diverse";"megan.baker@example.com";"+1 343 764 7817";"Johnson Avenue";"160";"15472";"Bakersfield";"Andorra";"Generated test data";"2024-10-30";"True";
"George";"Long";"2005-03-21";"Male";"george.long@example.com";"+1 867 746 3937";"Harrison Avenue";"155";"13334";"Glendale";"Liechtenstein";"Generated test data";"2024-10-23";"False";
"Larry";"Torres";"1961-04-23";"Unknown";"larry.torres@example.com";"+1 189 353 8097";"Park Lane";"172";"47886";"Tulsa";"Sweden";"Generated test data";"2025-08-07";"False";
"Timothy";"Mitchell";"1979-10-04";"Diverse";"timothy.mitchell@example.com";"+1 514 214 8647";"Stanford Street";"158";"93108";"St. Petersburg";"Lebanon";"Generated test data";"2025-05-28";"True";
"Janet";"Smith";"1966-01-17";"Male";"janet.smith@example.com";"+1 374 711 6221";"Yale Avenue";"87";"44070";"New Orleans";"Paraguay";"Generated test data";"2024-09-11";"True";
"Sharon";"Young";"1992-02-03";"Diverse";"sharon.young@example.com";"+1 992 407 9297";"Ninth Avenue";"187C";"80748";"Long Beach";"Sri Lanka";"Generated test data";"2025-01-02";"True";
"Beverly";"Gray";"1978-04-07";"Unknown";"beverly.gray@example.com";"+1 946 195 4317";"Duke Street";"192C";"84065";"San Diego";"France";"Generated test data";"2025-05-02";"True";
"Gary";"Mitchell";"1951-11-09";"Male";"gary.mitchell@example.com";"+1 227 573 8583";"Water Street";"25";"96358";"Greensboro";"Hungary";"Generated test data";"2025-06-22";"False";
"Sandra";"Richardson";"1957-06-01";"Female";"sandra.richardson@example.com";"+1 717 165 7080";"Oak Street";"52";"90238";"Chicago";"USA";"Generated test data";"2025-03-01";"True";
"Christina";"Wilson";"1980-11-25";"Female";"christina.wilson@example.com";"+1 822 629 1595";"Prince Avenue";"52";"18065";"Los Angeles";"Colombia";"Generated test data";"2025-08-04";"False";
"Robert";"Garcia";"1991-10-25";"Unknown";"robert.garcia@example.com";"+1 303 750 9845";"Knight Avenue";"29C";"22052";"Laredo";"Israel";"Generated test data";"2025-01-29";"True";
"Anthony";"Alvarez";"1952-08-03";"Female";"anthony.alvarez@example.com";"+1 531 534 7811";"Elm Street";"9";"77313";"Fremont";"Iran";"Generated test data";"2024-10-28";"False";
"William";"Wilson";"1952-09-07";"Male";"william.wilson@example.com";"+1 537 492 6190";"Princeton Street";"32";"68205";"Laredo";"Lebanon";"Generated test data";"2025-01-09";"True";
"Raymond";"Davis";"1951-12-21";"Female";"raymond.davis@example.com";"+1 197 611 3339";"Roosevelt Street";"171";"81891";"Anchorage";"Venezuela";"Generated test data";"2024-12-30";"False";
"Julie";"Ortiz";"2001-12-14";"Female";"julie.ortiz@example.com";"+1 718 114 6111";"Wilson Street";"189";"23513";"Phoenix";"Saudi Arabia";"Generated test data";"2025-05-21";"False";
"Hannah";"Young";"1985-01-21";"Unknown";"hannah.young@example.com";"+1 549 277 6001";"Elm Street";"189C";"59369";"Stockton";"Australia";"Generated test data";"2024-09-26";"True";
"Aaron";"Brooks";"1984-04-21";"Female";"aaron.brooks@example.com";"+1 339 746 6831";"Water Street";"144A";"20374";"Scottsdale";"South Africa";"Generated test data";"2025-07-20";"True";
"Jerry";"Morales";"1993-10-15";"Female";"jerry.morales@example.com";"+1 466 708 7785";"Garfield Avenue";"180";"80799";"Toledo";"Belgium";"Generated test data";"2025-06-24";"True";
"Ruth";"Ruiz";"1975-01-27";"Diverse";"ruth.ruiz@example.com";"+1 805 674 3491";"Valley Road";"173";"79999";"Minneapolis";"Mongolia";"Generated test data";"2024-10-07";"False";
"William";"Thompson";"1992-06-13";"Unknown";"william.thompson@example.com";"+1 909 321 2058";"Union Street";"163";"94424";"Corpus Christi";"Egypt";"Generated test data";"2024-12-29";"True";
"Olivia";"Baker";"1962-02-23";"Male";"olivia.baker@example.com";"+1 830 797 2358";"Gate Street";"156";"42016";"Omaha";"Panama";"Generated test data";"2025-01-20";"True";
"Tyler";"Adams";"1965-03-04";"Male";"tyler.adams@example.com";"+1 130 495 4357";"Cleveland Avenue";"25";"87237";"Mesa";"Israel";"Generated test data";"2024-10-20";"True";
"Sharon";"Allen";"1963-05-11";"Male";"sharon.allen@example.com";"+1 998 762 1601";"Ash Street";"118B";"54540";"Arlington";"Luxembourg";"Generated test data";"2024-09-03";"False";
"Victoria";"Martinez";"1963-04-02";"Female";"victoria.martinez@example.com";"+1 516 538 8104";"Hawthorn Lane";"184";"18153";"Las Vegas";"Hungary";"Generated test data";"2025-01-27";"True";
"Barbara";"Hall";"1950-08-28";"Diverse";"barbara.hall@example.com";"+1 692 929 9341";"Adams Street";"88";"42232";"St. Louis";"Portugal";"Generated test data";"2024-11-07";"False";
"Emma";"Hernandez";"1990-01-03";"Male";"emma.hernandez@example.com";"+1 629 448 5382";"Meadow Lane";"132A";"50240";"Baton Rouge";"Malaysia";"Generated test data";"2025-03-17";"False";
"Larry";"Foster";"1975-03-23";"Unknown";"larry.foster@example.com";"+1 960 303 2940";"Lord Street";"89";"40060";"Tampa";"Latvia";"Generated test data";"2024-11-29";"False";
"James";"Bennett";"1950-02-21";"Male";"james.bennett@example.com";"+1 589 330 9314";"Berkeley Avenue";"168C";"95333";"Lexington";"Paraguay";"Generated test data";"2025-01-04";"True";
"Carol";"Young";"2003-08-23";"Female";"carol.young@example.com";"+1 152 957 9414";"Stanford Street";"46";"49261";"Mesa";"Norway";"Generated test data";"2025-06-22";"True";
"Hannah";"Turner";"1955-03-01";"Male";"hannah.turner@example.com";"+1 667 267 9119";"Loop Road";"50";"24308";"Garland";"Sweden";"Generated test data";"2025-05-16";"False";
"Michael";"Evans";"1974-06-16";"Male";"michael.evans@example.com";"+1 775 544 9903";"Market Street";"115";"66776";"Stockton";"Andorra";"Generated test data";"2025-05-22";"True";
"Helen";"Collins";"1986-05-24";"Female";"helen.collins@example.com";"+1 790 403 1791";"Kennedy Street";"157";"41362";"Jersey City";"Brazil";"Generated test data";"2025-07-11";"False";
"Patrick";"Brooks";"1951-01-31";"Female";"patrick.brooks@example.com";"+1 282 436 7166";"Hawthorn Lane";"36";"41579";"Irving";"Algeria";"Generated test data";"2025-01-15";"True";
"Brenda";"Campbell";"1966-04-08";"Male";"brenda.campbell@example.com";"+1 867 543 5012";"Pine Street";"56A";"57272";"Corpus Christi";"Sweden";"Generated test data";"2025-01-30";"False";
"Anna";"Richardson";"1990-08-06";"Female";"anna.richardson@example.com";"+1 954 421 2357";"Pine Street";"152A";"15342";"Chula Vista";"Brazil";"Generated test data";"2025-01-30";"True";
"Tyler";"Gray";"1996-04-18";"Female";"tyler.gray@example.com";"+1 401 902 5790";"Queen Street";"52";"79475";"Los Angeles";"Turkmenistan";"Generated test data";"2025-03-11";"True";
"Gary";"Ramos";"1958-06-24";"Female";"gary.ramos@example.com";"+1 898 196 1164";"High Street";"117A";"97073";"Norfolk";"Colombia";"Generated test data";"2025-01-03";"False";
"Dennis";"Bennett";"1997-05-06";"Female";"dennis.bennett@example.com";"+1 633 638 7167";"Broadway";"3";"13204";"Toledo";"Latvia";"Generated test data";"2024-08-30";"False";
"Maria";"Clark";"1991-08-13";"Unknown";"maria.clark@example.com";"+1 899 971 2522";"Adams Street";"156A";"33899";"Gilbert";"New Zealand";"Generated test data";"2025-05-02";"True";
"Emma";"Brooks";"1982-04-24";"Diverse";"emma.brooks@example.com";"+1 503 286 6645";"Smith Road";"177";"95058";"New Orleans";"Finland";"Generated test data";"2025-04-28";"True";
"Gary";"Johnson";"1960-07-11";"Female";"gary.johnson@example.com";"+1 711 997 2208";"Polk Street";"115";"71345";"Chesapeake";"Bolivia";"Generated test data";"2025-07-01";"True";
"Jane";"Martin";"1979-06-10";"Unknown";"jane.martin@example.com";"+1 373 227 2749";"Chestnut Avenue";"116";"25786";"Reno";"Chile";"Generated test data";"2025-06-29";"True";
"Danielle";"Cooper";"1984-05-15";"Diverse";"danielle.cooper@example.com";"+1 963 526 5451";"Roosevelt Street";"187C";"65301";"Winston–Salem";"Argentina";"Generated test data";"2025-07-23";"False";
"Elizabeth";"Thompson";"1956-11-20";"Diverse";"elizabeth.thompson@example.com";"+1 377 658 8905";"Pennsylvania Avenue";"135";"75433";"Minneapolis";"Spain";"Generated test data";"2025-05-04";"False";
"Lauren";"Hughes";"1967-04-25";"Diverse";"lauren.hughes@example.com";"+1 332 644 6790";"Eighth Street";"30A";"80490";"Norfolk";"Czech Republic";"Generated test data";"2024-09-02";"False";
"Timothy";"King";"1954-01-23";"Male";"timothy.king@example.com";"+1 983 686 5551";"Lakeview Drive";"196";"17600";"Tacoma";"Kyrgyzstan";"Generated test data";"2025-02-26";"False";
"Joseph";"Cooper";"1984-10-09";"Female";"joseph.cooper@example.com";"+1 764 590 4951";"Walnut Street";"42B";"61526";"Madison";"China";"Generated test data";"2024-09-27";"False";
"Henry";"Cook";"1978-07-04";"Male";"henry.cook@example.com";"+1 590 984 3566";"Broad Street";"139B";"90182";"Virginia Beach";"Sweden";"Generated test data";"2025-03-19";"False";
"Paul";"Foster";"1991-02-22";"Female";"paul.foster@example.com";"+1 495 692 6569";"Ash Street";"180C";"91345";"Chesapeake";"Uzbekistan";"Generated test data";"2025-08-03";"False";
"Thomas";"Brown";"1952-07-18";"Unknown";"thomas.brown@example.com";"+1 188 472 5266";"Cleveland Avenue";"95";"34585";"Milwaukee";"Kenya";"Generated test data";"2025-06-30";"False";
"Christopher";"White";"2004-01-07";"Male";"christopher.white@example.com";"+1 107 230 1296";"Pine Street";"57A";"98222";"Wichita";"Czech Republic";"Generated test data";"2025-01-24";"True";
"Jack";"Taylor";"1970-10-05";"Diverse";"jack.taylor@example.com";"+1 981 893 1777";"Madison Street";"122";"22299";"Albuquerque";"Tunisia";"Generated test data";"2024-10-25";"False";
"Deborah";"Mitchell";"2005-06-29";"Diverse";"deborah.mitchell@example.com";"+1 888 189 5704";"Hillcrest Avenue";"70";"96559";"Baltimore";"Argentina";"Generated test data";"2024-09-06";"False";
"Helen";"Carter";"1970-05-15";"Female";"helen.carter@example.com";"+1 952 247 3939";"Ash Street";"60C";"69255";"Richmond";"Latvia";"Generated test data";"2025-04-01";"False";
"Nancy";"Edwards";"1977-06-14";"Female";"nancy.edwards@example.com";"+1 839 694 8526";"Monroe Avenue";"19B";"49361";"Saint Paul";"Czech Republic";"Generated test data";"2024-12-23";"False";
"Jennifer";"Hughes";"1989-07-06";"Male";"jennifer.hughes@example.com";"+1 726 740 8739";"Adams Boulevard";"163";"39501";"Louisville";"India";"Generated test data";"2025-06-08";"False";
"Scott";"Nelson";"1956-05-23";"Unknown";"scott.nelson@example.com";"+1 143 550 1056";"Jackson Street";"174C";"27443";"Detroit";"Laos";"Generated test data";"2024-11-01";"True";
"Jennifer";"Allen";"1983-03-03";"Female";"jennifer.allen@example.com";"+1 986 447 2487";"Bridge Street";"12";"27163";"San Antonio";"Egypt";"Generated test data";"2025-03-21";"True";
"Jennifer";"Martinez";"1965-03-13";"Male";"jennifer.martinez@example.com";"+1 171 191 7158";"Jefferson Street";"93";"64933";"San Jose";"Jamaica";"Generated test data";"2025-03-28";"True";
"Judith";"Sanchez";"1994-08-13";"Female";"judith.sanchez@example.com";"+1 711 599 5141";"Willow Lane";"52";"83162";"Las Vegas";"Bangladesh";"Generated test data";"2025-04-30";"False";
"Aaron";"Mitchell";"1975-04-12";"Diverse";"aaron.mitchell@example.com";"+1 320 385 6494";"Franklin Avenue";"77C";"32268";"Omaha";"Oman";"Generated test data";"2024-12-17";"False";
"Barbara";"Reed";"1973-01-31";"Female";"barbara.reed@example.com";"+1 871 694 7184";"Cherry Lane";"151";"30995";"Cleveland";"Qatar";"Generated test data";"2025-05-22";"False";
"James";"Bailey";"1966-12-28";"Unknown";"james.bailey@example.com";"+1 476 364 7601";"Pierce Street";"53";"91183";"Arlington";"Nepal";"Generated test data";"2025-04-29";"True";
"Pamela";"Gutierrez";"1979-10-20";"Male";"pamela.gutierrez@example.com";"+1 435 906 3337";"Tenth Street";"52";"21695";"Dallas";"Ireland";"Generated test data";"2025-04-20";"False";
"Douglas";"Miller";"1999-07-19";"Male";"douglas.miller@example.com";"+1 112 388 4721";"Monroe Boulevard";"98";"93673";"Omaha";"Latvia";"Generated test data";"2024-09-17";"False";
"Elizabeth";"Kelly";"2000-12-20";"Female";"elizabeth.kelly@example.com";"+1 816 686 7519";"Long Street";"91B";"34020";"Chula Vista";"Chile";"Generated test data";"2025-07-15";"False";
"Steven";"Myers";"1992-01-09";"Diverse";"steven.myers@example.com";"+1 627 487 8073";"Roosevelt Street";"151";"99038";"Anaheim";"Tajikistan";"Generated test data";"2025-02-04";"False";
"Anna";"Lewis";"1998-07-03";"Diverse";"anna.lewis@example.com";"+1 921 948 5852";"Pennsylvania Avenue";"51";"56655";"Arlington";"New Zealand";"Generated test data";"2025-02-01";"False";
"Emily";"Brown";"1967-08-21";"Diverse";"emily.brown@example.com";"+1 846 392 7488";"Adams Street";"70";"32393";"Baltimore";"Honduras";"Generated test data";"2024-11-12";"True";
"Beverly";"Collins";"2003-08-18";"Diverse";"beverly.collins@example.com";"+1 297 388 7643";"Franklin Avenue";"116A";"86802";"Chandler";"Peru";"Generated test data";"2025-03-15";"False";
"Deborah";"Jackson";"1975-07-27";"Unknown";"deborah.jackson@example.com";"+1 132 997 7350";"Lincoln Street";"7";"55384";"Pittsburgh";"United Arab Emirates";"Generated test data";"2025-05-28";"False";
"James";"Chavez";"1996-12-25";"Female";"james.chavez@example.com";"+1 748 591 7424";"Kennedy Street";"161";"27418";"Milwaukee";"China";"Generated test data";"2025-04-08";"True";
"Elizabeth";"Moore";"1982-03-20";"Male";"elizabeth.moore@example.com";"+1 943 614 3955";"Lakeview Drive";"44B";"79936";"Virginia Beach";"Japan";"Generated test data";"2025-02-04";"False";
